pID	gr
4110515	1
1084939	10
3275914	1
2673696	5
1130615	10
3488807	3
3874616	1
25450136	2
3668858	1
30131649	2
1565117	1
2523170	7
40388633	10
2257130	1
28078	2
30161098	1
1747325	2
2265542	1
3551191	3
584654	4
25098759	3
1605087	2
1934319	1
3450732	1
40604404	6
2684254	5
20184842	8
4494131	1
25757619	1
4179850	1
1444181	1
1444265	1
3651525	8
1183420	3
2743138	9
1697902	2
2356358	2
1237071	3
3501012	3
4532860	1
40985621	1
30106903	2
3990001	3
2367469	2
1252234	6
2803157	8
3600141	4
3546244	1
2661451	6
3566287	1
39346	2
25471682	2
40284230	7
3533312	3
4215458	1
20476185	2
2562842	3
2418793	1
4495155	1
2366153	2
40213255	1
1382102	1
1222632	1
1445493	1
41106781	3
3270442	4
1542199	1
25054338	3
1045380	3
255828	6
2524939	3
63537	2
13225	2
20076654	2
2486352	6
2486086	6
3658125	2
27540160	10
3807963	1
1243217	3
2434093	1
2984408	5
25426739	2
2836872	1
2241155	5
1302468	1
3439712	3
2109546	3
1267205	5
3203487	6
3546364	1
1368344	1
1734955	2
3053316	7
2488068	6
1045951	4
1392338	3
2963474	1
3882569	1
27537228	10
3700641	3
2241311	5
4457933	2
20494100	2
20105173	1
68267	2
3597980	1
2489483	6
640687	8
25462946	2
3698144	4
2366409	2
68919	1
4143037	1
20104314	1
2260237	1
3058254	2
30027007	3
40508821	2
10285	2
4152371	2
2673477	5
4255498	8
45623	2
4536905	3
30077031	2
3283201	1
4295525	2
4450	1
3677377	1
40664477	3
1722225	2
3058700	2
60491	2
1562808	1
63369	2
30048248	2
25622936	1
40746	2
1615355	2
40784875	3
3782013	1
3663711	3
4355496	5
4096821	1
30033891	8
46465	2
25450759	2
2886588	2
1427108	5
40802968	2
2802439	8
3148119	2
2888828	2
1468184	1
40062235	1
3000327	6
40034372	10
3519908	3
4089939	1
4620652	3
1266561	5
3784760	1
2483459	1
3375519	2
1351788	1
800514	4
25450688	2
25085895	5
3543194	1
29316	2
2965548	5
3648209	3
2953651	3
3315905	5
40282798	3
3450788	1
1249197	6
1685371	4
1131998	7
2459136	1
2532007	5
25462959	1
440274	9
2260389	1
2660593	3
2898308	2
1608966	2
3097781	4
27536280	10
1558023	1
25483679	1
2362964	2
2098462	3
2291454	5
448787	9
30086563	2
4499054	1
3225668	2
30245661	4
27645419	4
4269536	2
3451406	1
2786999	4
1001986	10
2802043	8
2527187	3
25427571	1
40037231	10
40035486	1
3056855	2
25131712	8
2901168	1
29789591	4
25195040	1
3665525	3
30028371	8
25048870	6
3544909	1
3578911	2
25064995	8
25475940	10
1305303	1
1427070	1
2397690	5
25464248	2
3085235	1
3986323	5
3455764	2
25461576	2
2335260	5
30134095	1
20112850	1
2786531	4
3995898	1
25652208	9
2446320	1
40419687	1
3584936	3
2845186	1
2580764	4
3811080	8
20046120	1
2885178	2
4601825	1
3486104	3
20069235	1
136401	3
1382557	1
3151714	4
4216296	1
20077289	2
68074	2
1349882	3
4124054	1
4253794	1
41165323	6
40856392	1
4216144	1
4524124	1
1883081	3
2445295	1
3480099	6
30049185	2
40604172	6
25791117	8
3480701	7
2242675	5
2419694	1
3483081	10
1403832	5
3376285	2
1380313	1
3215714	5
34237	2
40042932	3
68724	2
25046131	9
4092974	1
4533124	1
1221901	1
40220050	4
12826	2
3649566	6
1939644	1
2425067	1
1711200	2
4539315	1
3069341	6
1933103	1
3872029	2
3447178	10
20038723	1
2893360	2
1606497	2
41344	2
4266471	1
4418650	3
3869982	2
25153446	1
2291126	5
1604650	2
40278267	3
1620013	2
4092620	3
2434887	1
30048365	2
1147686	7
258232	6
2364243	2
3455102	2
2601077	3
1938863	1
2772537	4
2259470	1
90264	1
20494192	1
3088306	4
3682528	1
4594305	4
2958861	5
2408945	1
2951269	3
2360702	2
2673620	5
40835670	4
27767256	6
3699366	10
3066671	1
1604130	2
3675970	1
4254770	8
30224763	2
2444621	2
25249652	1
2286348	3
145207	3
4009865	1
30034280	8
4092924	1
4523768	1
3482535	10
25639	2
1351113	1
40035049	1
4498548	1
3056968	2
2396571	1
4533298	1
25055655	3
40332398	8
2426664	1
3227022	1
3069268	1
55517	1
2845309	1
3318837	5
2489069	6
30144726	2
2240843	1
30244792	1
2442666	1
1521597	1
3482597	10
4523574	1
2413580	1
2356304	2
25622898	1
40483045	2
1513833	1
27732360	2
749811	10
2837271	1
2393758	6
3494478	1
27548159	10
20461628	5
1469261	1
32761	2
1382273	1
3858639	1
2888928	2
30306	2
2137205	4
4123485	3
40509386	8
1605553	2
30160143	1
1127591	10
25084199	1
2121752	3
3074152	2
2331023	3
25123863	3
2426693	1
59155	2
30132606	2
2475216	1
3830809	1
1937786	1
25097554	1
40234847	1
2244602	5
3565330	1
3544786	1
20145443	1
4640863	4
4616098	5
40439626	6
2286453	3
3892017	1
2433361	1
683467	1
3503592	1
2425053	1
4640516	1
25791173	9
3060961	1
20055036	2
4485861	2
2838066	1
40484810	2
2786298	8
2112060	4
53141	2
57140	1
20491073	1
3862395	2
2648104	4
1606669	2
4541106	1
74029	1
1371634	7
3546597	1
25051963	5
1540969	1
1485284	1
2400524	1
40398118	6
2800494	8
30035564	10
4218975	1
2120559	3
3708496	4
3791565	4
4162607	1
1123664	7
20491381	1
1727020	1
3235622	1
25569924	4
1551076	1
2239075	5
2558174	1
44225	2
1425935	5
4105799	9
25644997	1
2647382	1
41240825	2
30050881	2
25249237	1
4616539	3
40443360	1
1316922	4
2360347	2
4132676	3
3067754	1
2060396	4
27595782	5
